HR,RD,PS,YEAR,FIPSNO
0.0,-0.17510549,-1.449946096,1,0
0.0,-0.836868285,-1.707205577,1,1
1.8638634161,-0.537371617,-0.568146453,1,2
2.6123301985,-0.820169785,-0.554938608,1,3
0.0,-0.93617014,-1.106438634,1,4
0.0,-0.850319046,-1.20839428,1,5
7.9763898859,-1.40425979,-0.98204569,1,6
1.0111734668,-1.136291549,-0.346093185,1,7
11.529038766,-0.314596351,-0.966681816,1,8
0.0,-1.245690305,-1.116701907,1,9
0.0,-0.972029373,-1.864842975,1,10
3.5740452832,-1.149784334,-0.592590111,1,11
0.0,-0.591604056,-1.224457678,1,12
0.0,-0.173043012,-1.248144375,1,13
0.0,-0.048135919,-1.153201929,1,14
0.0,-0.516882533,-1.247070389,1,15
2.9459419649,-0.550614009,-0.787183304,1,16
0.0,0.5252124234,-0.625011616,1,17
0.0,-0.549590586,-1.164168197,1,18
0.0,-0.005570979,-0.842095066,1,19
0.0,-0.320968022,-0.545044786,1,20
0.0,-0.148510414,-0.884593696,1,21
0.0,0.156461651,-0.731648615,1,22
4.1198038973,-0.169190036,-1.369305333,1,23
5.5306675516,-0.388779089,-1.665516787,1,24
5.8548009368,-1.071062607,-0.843591035,1,25
0.0,-0.557734803,-1.588580424,1,26
1.4221312058,-1.027077007,0.5441336097,1,27
2.1385342486,-0.765472986,-0.550746853,1,28
0.7081350555,-1.072396415,0.2472578283,1,29
0.0,-1.371877724,-0.634825644,1,30
2.5965595586,-1.167952881,0.3710646921,1,31
0.0,-1.000848634,-0.342674314,1,32
3.0032735682,-0.146106642,-0.841313087,1,33
1.7272052093,-1.036301949,1.1030909105,1,34
5.6829483136,-0.285197978,-0.880708249,1,35
6.6157255797,-0.030750872,-0.904843126,1,36
0.0,0.0822023284,-0.630432231,1,37
0.0,-0.669058066,-0.551993025,1,38
0.0,-0.457390564,-0.336665412,1,39
2.845962291,-0.100091268,-0.362971136,1,40
0.0,-0.346540139,-0.950856721,1,41
4.9086982132,-1.137185986,0.0118783835,1,42
17.422361601,-0.816076839,-1.083009256,1,43
3.3308906802,-1.135045739,-0.047668218,1,44
3.5329447094,0.411006862,-0.866214989,1,45
4.5363817819,-0.889647768,-1.414533231,1,46
2.1293193727,-1.297020058,1.2414968097,1,47
0.0,-0.926313487,0.3524941138,1,48
4.8449612403,-1.091311253,-1.346070453,1,49
0.0,-1.584644356,-0.710392231,1,50
0.0,-0.231319746,-0.97487558,1,51
0.6847861071,-1.151954966,0.3944605887,1,52
0.9212684023,-0.414063013,0.0490026413,1,53
2.6735108545,-0.513377979,-0.370095428,1,54
0.0,-1.53242743,-0.606606244,1,55
13.706140351,-0.266220559,-1.295279502,1,56
0.0,-1.109286538,-0.936552476,1,57
0.0,-0.534029593,-0.918813591,1,58
0.0,-0.728862139,-1.2347492,1,59
0.0,-0.109073107,-1.887555563,1,60
7.9836494859,-1.594106545,-0.465835852,1,61
2.5149730718,-1.099754186,1.673886828,1,62
2.5437525438,-0.449617076,-0.633792891,1,63
0.0,0.468387974,-0.797733897,1,64
0.0,-1.049758823,0.0571298982,1,65
0.0,0.5604906281,-2.471983872,1,66
0.0,-0.089455461,-0.832381207,1,67
2.8688024901,-1.415827163,0.1438670259,1,68
3.0527826114,-1.243175155,-0.924576942,1,69
5.9511057154,-1.239669772,-0.337504379,1,70
0.7919913831,-1.182134736,1.2654565372,1,71
0.0,-0.79318236,-0.005545172,1,72
0.0,0.7272083665,-1.344526714,1,73
0.0,-0.150446073,-0.856060939,1,74
0.0,-0.120561937,-0.692595184,1,75
0.0,-0.203273271,-1.093977942,1,76
0.0,0.2426314066,-1.293384546,1,77
0.0,-0.776846898,-0.94151548,1,78
0.0,-1.10339217,-0.841015445,1,79
3.3511084683,-1.257852259,2.5448377828,1,80
3.6321701308,-1.286610721,0.5001104767,1,81
0.0,-0.287363384,-1.118961915,1,82
0.0,-0.470284491,-1.167252978,1,83
0.0,-0.487341878,-0.609016875,1,84
0.0,-1.22790881,-0.315501488,1,85
5.9706393808,-1.180931573,0.1220630946,1,86
0.0,-1.165689452,-2.74595576,1,87
9.5210892126,-1.256459663,-1.272714903,1,88
0.0,-0.843107402,-0.440655724,1,89
0.0,-0.664744823,-1.035477434,1,90
0.0,-0.074889825,-1.016393721,1,91
1.224027663,-1.050738625,0.3834811959,1,92
0.0,0.0501836858,-0.571014836,1,93
0.0,0.4872466931,-0.858725303,1,94
0.0,-1.627121641,-1.695408767,1,95
0.0,0.5472936703,-0.545539859,1,96
2.5142052597,-0.50443745,0.4600593902,1,97
0.0,-0.819344593,-1.831833943,1,98
6.6920966339,0.1534593069,-0.683117588,1,99
0.0,-0.871805977,-1.012800429,1,100
0.0,0.1149855539,-2.035821799,1,101
0.0,0.0240341981,-1.615182972,1,102
0.0,0.2708773211,-2.210121129,1,103
2.6521329779,-0.649370735,-0.273250866,1,104
0.0,0.2428722063,-1.288624976,1,105
0.0,-1.012628587,0.0750913053,1,106
2.1766845984,-1.037611837,1.8021009206,1,107
0.0,0.8909743544,-1.630668075,1,108
3.3571692349,-1.258183445,-0.930221277,1,109
1.0662231178,-1.229600512,-0.089291037,1,110
0.0,-0.491826273,-0.44186226,1,111
